text,label
मैं एक सेकंड में बाहर हो जाएगा।,1
"ठीक है, Caravaggio chiaroscuro का उपयोग करता है यहाँ केंद्रीय आकृति की परेशानी को उभारने के लिए. इसे छू, यह वास्तव में बम्पी है!.",1
"कोई भी बात नहीं है, मैं किसी भी तरह से उससे मिलने के लिए जाने वाला नहीं हूँ।",0
हाँ! मेरे भगवान!,1
मैं मोनिका गेलर हूँ. तुम  bride और groom को कौन जानते हैं?,1
ठीक है! क्योंकि यह अतीत में है!,0
प्रेम वास्तव में क्या है?,1
"हेलो, प्यारी लड़की।",2
"यह सब है, एक तीसरा निप्पल.",1
स्पष्ट है कि हमारे बीच एक भावना चल रही है।,1
"मेरा मतलब है, वह चीज़ क्या है?",0
"वह वास्तुकला को पसंद करती है, आप जानते हैं कि आप क्या करना चाहिए?",1
"अरे, लड़कों, तुम जानते हो कि लारी क्या कहेगा? वह कहेगा, ""आप लैडल देखते हैं.""",1
चलो घुमाएँ!,2
"ओह जोय, मैं शायद एक नहीं हूँ",1
"हाँ, जब से तुम uh, मुझे उस साइकिल के बारे में उस कहानी बताई मैं-मैं इसके बारे में सोचना बंद नहीं कर सकता था।",1
"यह एक तरीका है! मैं, मैं-मैं घड़ी के लिए गया।",1
"नहीं, हम तलवार पर पेंटिंग करने के लिए जा रहे हैं, और एक बैग्यूट के साथ इसे बदलने के लिए जा रहे हैं।",1
नहीं!,0
"उम्, यह है।",1
प्रिय भगवान! यह पैराचुट एक बैग है!,1
"मैं नहीं जानता, मेरी माँ ने अपने चौथे विवाह पर अपना अधिकांश धन खर्च किया।",0
"यह ठीक है, मैं इसे ले लूंगा।",1
"Ross umm, वहाँ कुछ है कि मैं तुम्हें बताने के लिए है, वहाँ है-किसी और है।",2
हे-हे पीहब्स!,2
"ओह, hey, कैसे इस एक के बारे में।",1
देखो! देखो! वे पहली कक्षा लैंग में जा रहे हैं! क्या आप जानते हैं कि वे वहाँ क्या है?,1
"खैर वास्तव में uh, वहाँ था कुछ हम आप से शादी के बारे में बताना चाहते थे।",1
लेकिन फिर इस आदमी के ठीक उसके बाद है।,1
"हाँ, निश्चित है. सौभाग्य!",2
"अब, क्या आपके पास कोई भी विचार है जो आपने अभी कहा था?",1
"आप क्या मतलब है, इसे संभालना?",2
प्रेम,1
कोशिश करो. वहाँ मेरी छोटी लड़की है.,2
आप लोगों के लिए कुछ खाने के लिए है? मैं सिर्फ कुछ चिकन के लिए जोनोस के लिए नीचे गया था और यह बंद था!,1
तुम कैसे लगता है कि वह क्या कर रही है?,1
"ठीक है, अच्छी तरह से, आप सही है, इन सबसे अच्छा बाज के कुकी है मैं कभी किया है।",1
"ठीक है, लय महसूस करें। यह बेहतर है।",1
ठीक है! शायद मैं भी!,2
"21 घंटे, तुम एक नायक हो।",1
धन्यवाद... हम इतने उत्साहित हैं,2
किताब बंद करो!,2
हम्म. आप महिलाओं के साथ सोते हैं और फिर कभी भी उन्हें फोन नहीं करते?,1
"खैर, मैं एक तरह से कुकी बेचना चाहता था. सबसे ज्यादा बेचती लड़की Spacecamp में एक यात्रा जीतती है, और एक में बैठने के लिए मिलता है",0
मैं वचन देता हूँ।,1
"ओह, ओह, ओह, क्षमा करें।",0
"मैं कभी-कभी मूर्ख बना सकता हूँ, लेकिन मैं एक बहुत मोटी blond लड़की से कुछ अधिक हूँ एक गंवार है कि नहीं छोड़ेगा.",0
"बात क्या है, फीब्स?",1
ओह सचमुच? यह एक दोस्त को कैसे बर्दाश्त करता है? आप उसे परेशानी में ले जाते हैं और फिर उससे शादी करने से इंकार करते हैं?,0
"हाँ, लेकिन तुम किसी को नहीं बता सकते! कोई नहीं जानता!",2
यह एक अच्छा है।,1
"ओह, मैं जानता हूँ मैं आप से पूछना चाहता था क्या. आप साल पहले शो में थे और फिर उन्होंने आप को मार डाला. वहाँ क्या हुआ?",1
"मुझे चिंता नहीं है. मैं एक व्यक्ति को अपने शरीर से बाहर यहाँ निकालने की कोशिश कर रहा हूँ, और आप इसे किसी भी आसान नहीं कर रहे हैं.",0
Good-bye मांसपेशियों!!,2
बाय!,1
"ठीक है, विदा. अच्छी तरह से, मोनिका नहीं आ रहा है, यह सिर्फ मेरे और रेशेल होने जा रहा है.",1
"सुनो, क्या आप सोचते हैं-और मेरी तीव्र दुर्बलता को किसी भी प्रकार के कारण के रूप में यहाँ नहीं छोड़ने की कोशिश करते हैं-किन्तु क्या आप सोचते हैं कि अगर मैं आप से बाहर पूछें तो यह ठीक होगा?",0
मैं भी।,1
"चिंता मत करो, मैं वास्तव में एक पार्टी लड़की नहीं हूँ।",1
मूर्ख!,0
कार्य।,1
"ओह, मुझे क्षमा है।",1
मैंने सोचा था वहाँ कोई गेंद नहीं है?,1
"क्या! Joey, आप एक गर्भवती महिला के साथ एक डेट पर जाना नहीं चाहते.",1
मैं भी!,2
क्योंकि बच्चों को नये जूते की जरूरत है।,1
"हाँ, ठीक है, विदा।",1
"मेरा मतलब है, चलो, यह सिर्फ शोर है!",0
"Hey, uh, आप इसे अनदेखा कर सकते हैं।",1
"अब हं, याद करो मैं अभी भी सीख रहा हूँ।",1
"आप जानते हैं, सही बोलने में कोई दोष नहीं है।",1
लेकिन आप मुझे उनके साथ नहीं छोड़ सकते! हम एक टीम हैं! हम एक क्षेत्र खेल रहे हैं! वे मेरे तीन टीम जा रहे हैं!,0
"नहीं-नहीं, यह एक आदमी का कुर्ता है।",1
"और फिर भी, हम अभी भी उसे पिट रहे हैं।",0
"क्या... तुम हो, तुम हो, तुम मेरे ऊपर हो?",1
इस कुर्सी के पीछे कोई नहीं है!,1
अरे! यह पोर्श है!,0
Uh-huh.,1
तो-तो तुम दोनों शादी कर रहे थे हू? क्या हुआ? तुम सिर्फ अलग drift?,1
"रॉस, वह अजीब नहीं है, वह सिर्फ अपने सामान एक तरह की हो जाना चाहता है।",1
ठीक है!,1
मैं तुम्हें कह रहा हूँ कि वह मर गया है। क्या हम यहाँ करने के लिए तैयार हैं एक मरे हुए वसा आदमी एक चिड़ी पर है।,0
"अच्छी तरह से, वितरण तुम के लिए बाहर गया और मुझे पता चला कि वे इसे भूल गए।",1
"ओह, ओह नहीं! मुझे जाना है! मैं एक massaging मुलाकात है।",0
"रोस, यह बहुत मुश्किल है।",0
"मेरे चाचा हमें वहाँ ले गया। लेकिन, यह वास्तव में यह वास्तव में बहुत दिलचस्प हो गया।",1
"ठीक है, अच्छी तरह से रोस, यह वास्तव में क्या है?",1
"अरे, आप लोग",1
"अच्छा, मैं नहीं समझता कि एड्रिएन विक्टर को क्यों आकर्षित करता है।",0
"ओह, यही कारण है कि तुमने उस नाटक के लिए ये टिकट प्राप्त किए, हम से छुटकारा पाने के लिए??",0
