text,label
यह समझना बहुत मुश्किल है।,2
This is a regular update.,9
आज मैं बहुत उदास महसूस कर रहा हूँ।,10
I can't believe this happened again.,0
Everything feels bright and positive right now.,6
This is getting very annoying.,5
I can't wait for this to happen.,1
Everything feels perfect right now.,7
मैं इसे लेकर बहुत उलझन में हूँ।,2
Everything feels bright and positive right now.,6
मुझे विश्वास नहीं हो रहा कि यह फिर से हुआ।,0
Everything feels perfect right now.,7
यह बहुत परेशान करने वाला हो रहा है।,5
I keep trying and failing.,5
आज मैं बहुत खुश महसूस कर रहा हूँ।,6
मैं आगे क्या होगा इसका इंतजार कर रहा हूँ।,1
There is a lot of excitement inside me.,1
आज मैं बहुत उदास महसूस कर रहा हूँ।,10
This means a lot to me.,8
It's been a hard day for me.,10
I feel confident about this.,12
यह मुझे सुरक्षित महसूस कराता है।,12
कार्यक्रम योजना के अनुसार हुआ।,9
I believe in what you are saying.,12
I can't wait for this to happen.,1
The event took place as scheduled.,9
यह देखना बहुत ही घिनौना है।,3
I feel lost about this.,2
"वाह, यह बिल्कुल अप्रत्याशित है।",11
जो हुआ उससे मैं बहुत गुस्से में हूँ।,0
This is really unpleasant to see.,3
I feel sick thinking about this.,3
This means a lot to me.,8
This is completely unacceptable.,0
यह मुझे सुरक्षित महसूस कराता है।,12
जो हुआ उससे मैं बहुत गुस्से में हूँ।,0
I did not expect this at all.,11
मुझे इसकी बिल्कुल उम्मीद नहीं थी।,11
This is hard to understand.,2
यह मेरे लिए बहुत मायने रखता है।,8
This is hard to understand.,2
This means a lot to me.,8
सब कुछ अभी परफेक्ट लग रहा है।,7
There is a lot of excitement inside me.,1
मुझे इसका बहुत बेसब्री से इंतजार है।,1
I feel lost about this.,2
This made my day so much better.,6
मुझे इसकी बिल्कुल उम्मीद नहीं थी।,11
सब कुछ अभी परफेक्ट लग रहा है।,7
It's been a hard day for me.,10
यह समझना बहुत मुश्किल है।,2
यह मुझे सुरक्षित महसूस कराता है।,12
I keep trying and failing.,5
यह बहुत परेशान करने वाला हो रहा है।,5
It's been a hard day for me.,10
मैं इस पल का पूरा आनंद ले रहा हूँ।,7
मेरे अंदर बहुत उत्साह है।,1
Everything is proceeding as planned.,9
यह मुझे सुरक्षित महसूस कराता है।,12
यह स्थिति मुझे असुरक्षित महसूस कराती है।,4
यह बिल्कुल भी स्वीकार्य नहीं है।,0
जो हुआ उससे मैं बहुत गुस्से में हूँ।,0
यह देखना बहुत ही घिनौना है।,3
The event took place as scheduled.,9
मुझे इसका बहुत बेसब्री से इंतजार है।,1
"Wow, this is unexpected.",11
मैं आगे क्या होगा इसका इंतजार कर रहा हूँ।,1
This is getting very annoying.,5
The event took place as scheduled.,9
This is a regular update.,9
सब कुछ योजना के अनुसार चल रहा है।,9
That was a big surprise for me.,11
I can't wait for this to happen.,1
यह मेरे लिए बहुत बड़ा आश्चर्य था।,11
I did not expect this at all.,11
I feel really low and tired today.,10
कुछ भी सही नहीं लग रहा है।,10
कार्यक्रम योजना के अनुसार हुआ।,9
आज मैं बहुत खुश महसूस कर रहा हूँ।,6
This moment brings me pure joy.,7
Nothing seems to be going right.,10
This means a lot to me.,8
I feel really low and tired today.,10
My heart feels full right now.,8
That was a big surprise for me.,11
मुझे आगे क्या होगा इसका डर लग रहा है।,4
मैं इसे लेकर बहुत उलझन में हूँ।,2
यह सोचकर ही मुझे अजीब लग रहा है।,3
I am not sure what this means.,2
I believe in what you are saying.,12
I keep worrying about the future.,4
यह मुझे सुरक्षित महसूस कराता है।,12
I keep worrying about the future.,4
I feel confident about this.,12
मुझे विश्वास नहीं हो रहा कि यह फिर से हुआ।,0
कार्यक्रम योजना के अनुसार हुआ।,9
I am really looking forward to what comes next.,1
I keep trying and failing.,5
कार्यक्रम योजना के अनुसार हुआ।,9
यह एक सामान्य अपडेट है।,9
मुझे आपकी बात पर भरोसा है।,12
यह स्थिति मुझे असुरक्षित महसूस कराती है।,4
आज मैं बहुत खुश महसूस कर रहा हूँ।,6
मुझे इसकी बिल्कुल उम्मीद नहीं थी।,11
This moment brings me pure joy.,7
मैं आगे क्या होगा इसका इंतजार कर रहा हूँ।,1
आज का दिन मेरे लिए बहुत मुश्किल रहा।,10
"Wow, this is unexpected.",11
सब कुछ योजना के अनुसार चल रहा है।,9
I can't wait for this to happen.,1
मुझे समझ नहीं आ रहा कि इसका क्या मतलब है।,2
कुछ भी सही से काम नहीं कर रहा है।,5
Everything feels perfect right now.,7
I can't wait for this to happen.,1
कुछ भी सही नहीं लग रहा है।,10
यह सोचकर ही मुझे अजीब लग रहा है।,3
मुझे आपकी सच में बहुत परवाह है।,8
यह स्थिति मुझे असुरक्षित महसूस कराती है।,4
I keep worrying about the future.,4
This made my day so much better.,6
मुझे इसका बहुत बेसब्री से इंतजार है।,1
Nothing seems to be going right.,10
This is hard to understand.,2
I can't wait for this to happen.,1
My heart feels full right now.,8
This is getting very annoying.,5
यह मुझे सुरक्षित महसूस कराता है।,12
यह पल मुझे बहुत खुशी दे रहा है।,7
